,,,,Pakistan Website Defacement Data 2006-2020,,,,,
"Total notifications: 1,351 of which 568 single ip and 783 mass defacements",,,,,,,,,
,,,,,,,,,
Legend:,,,,,,,,,
H - Homepage defacement,,,,,,,,,
M - Mass defacement (click to view all defacements of this IP),,,,,,,,,
R - Redefacement (click to view all defacements of this site) ,,,,,,,,,
L - IP address location,,,,,,,,,
 - Special defacement (special defacements are important websites),,,,,,,,,
,,,,,,,,,
Date,Notifier,H,M,R,L,,Domain,OS,View
10/8/2018,Hunter Bajwa,,M,,,,seo.cadd.gov.pk/1337.php,Linux,mirror
10/8/2018,Hunter Bajwa,,M,,,,support.fde.gov.pk/1337.php,Linux,mirror
10/8/2018,Hunter Bajwa,,M,,,,emis.fde.gov.pk/1337.php,Linux,mirror
10/8/2018,Hunter Bajwa,,M,,,,gemis.fde.gov.pk/1337.php,Linux,mirror
10/4/2018,Hunter Bajwa,H,,,,,mci.gov.pk,Linux,mirror
10/4/2018,Hunter Bajwa,H,M,,,,peira.gov.pk,Linux,mirror
10/4/2018,Hunter Bajwa,H,,,,,socialwelfare.gov.pk,Linux,mirror
10/4/2018,Hunter Bajwa,H,,,,,cadd.gov.pk,Linux,mirror
10/4/2018,Hunter Bajwa,H,,,,,fde.gov.pk,Linux,mirror
10/4/2018,Hunter Bajwa,H,,R,,,mocad.gov.pk,Linux,mirror
10/4/2018,Hunter Bajwa,H,,,,,pakistancoastguards.gov.pk,Linux,mirror
9/19/2018,ErrOr SquaD,,,R,,,www.swkpk.gov.pk/king.html,Linux,mirror
9/18/2018,ErrOr SquaD,,,R,,,sunkp.gov.pk/king.html,Linux,mirror
9/18/2018,ErrOr SquaD,,,R,,,www.pakp.gov.pk/king.html,Linux,mirror
9/16/2018,Kashmiri_Ch33t2h,H,,R,,,sindhlaws.gov.pk,Win 2012,mirror
8/31/2018,Hunter Bajwa,H,,,,,districtcourtthatta.gov.pk,Linux,mirror
8/29/2018,cyber_hunter,,,,,,fio.gov.pk/r00t.txt,Linux,mirror
8/25/2018,Asakir,H,,R,,,plantprotection.gov.pk,Linux,mirror
8/20/2018,cyber_hunter,,,,,,ipms.kpdata.gov.pk/r00t.txt,Linux,mirror
8/20/2018,cyber_hunter,,M,,,,inspections.kpdata.gov.pk/r00t...,Linux,mirror
8/20/2018,cyber_hunter,,M,,,,dgipr.kpdata.gov.pk/r00t.txt,Linux,mirror
8/20/2018,cyber_hunter,,M,,,,pfm.kpdata.gov.pk/r00t.txt,Linux,mirror
8/20/2018,cyber_hunter,,M,,,,www.pndkp.gov.pk/r00t.txt,Linux,mirror
8/20/2018,cyber_hunter,,M,,,,kpminerals.gov.pk/r00t.txt,Linux,mirror
8/16/2018,m1r0U,,M,R,,,www.kprti.gov.pk/z.txt,Linux,mirror
8/16/2018,m1r0U,,,,,,www.healthkp.gov.pk/z.txt,Linux,mirror
