S No.,Date,Notifier,H,M,R,L,Domain,OS,View
129,9/15/2020,Bla3k_D3vil,,M,,,willways.com.pk/a.html,Win 2012,mirror
130,9/15/2020,Bla3k_D3vil,,M,,,digitalelectronics.com.pk/a.html,Win 2012,mirror
131,9/15/2020,Bla3k_D3vil,,M,,,bridalcollection.pk/a.html,Win 2012,mirror
132,9/15/2020,Bla3k_D3vil,,M,,,elinks.pk/a.html,Win 2012,mirror
133,9/15/2020,Bla3k_D3vil,,M,,,auraadvertising.com.pk/a.html,Win 2012,mirror
134,9/15/2020,Bla3k_D3vil,,M,,,auraadvertising.pk/a.html,Win 2012,mirror
135,9/15/2020,Bla3k_D3vil,,M,,,auracommunication.com.pk/a.html,Win 2012,mirror
136,9/15/2020,Bla3k_D3vil,,M,,,needleart.com.pk/a.html,Win 2012,mirror
137,9/15/2020,Bla3k_D3vil,,M,,,hrmlimited.pk/a.html,Win 2012,mirror
138,9/15/2020,Bla3k_D3vil,,M,,,auracommunication.pk/a.html,Win 2012,mirror
139,9/15/2020,Bla3k_D3vil,,M,,,arehman.pk/a.html,Win 2012,mirror
140,9/15/2020,Bla3k_D3vil,,M,,,coronapaints.com.pk/a.html,Win 2012,mirror
141,9/15/2020,Bla3k_D3vil,,M,R,,tgardens.com.pk/a.html,Win 2012,mirror
142,9/15/2020,Bla3k_D3vil,,M,,,arif-group.com.pk/a.html,Win 2012,mirror
143,9/15/2020,Bla3k_D3vil,,M,R,,sportsclinic.com.pk/a.html,Win 2012,mirror
144,9/15/2020,Bla3k_D3vil,,M,,,goabroad.org.pk/a.html,Win 2012,mirror
145,9/15/2020,Bla3k_D3vil,,M,,,as-enterprises.com.pk/a.html,Win 2012,mirror
146,9/15/2020,Bla3k_D3vil,,M,,,fsaijazuddin.pk/a.html,Win 2012,mirror
147,9/15/2020,Bla3k_D3vil,,M,,,altariqgroup.com.pk/a.html,Win 2012,mirror
148,9/15/2020,Bla3k_D3vil,,M,,,almo.pk/a.html,Win 2012,mirror
149,9/15/2020,Bla3k_D3vil,,M,,,alrehmanfiberglass.pk/a.html,Win 2012,mirror
150,9/15/2020,Bla3k_D3vil,,M,,,akenterprises.pk/a.html,Win 2012,mirror
151,9/15/2020,Bla3k_D3vil,,M,,,alfalahinsurance.com.pk/a.html,Win 2012,mirror
152,9/15/2020,Bla3k_D3vil,,M,R,,ait.org.pk/a.html,Win 2012,mirror
153,9/15/2020,Bla3k_D3vil,,M,,,medcon.com.pk/a.html,Win 2012,mirror
154,9/15/2020,Bla3k_D3vil,,M,,,leatherx.com.pk/a.html,Win 2012,mirror
155,9/15/2020,Bla3k_D3vil,,M,,,actma.edu.pk/a.html,Win 2012,mirror
156,9/15/2020,Bla3k_D3vil,,M,R,,abuzar.com.pk/a.html,Win 2012,mirror
157,9/15/2020,Bla3k_D3vil,,M,,,adcounsel.com.pk/a.html,Win 2012,mirror
158,9/15/2020,Bla3k_D3vil,,M,,,4yaarinc.pk/a.html,Win 2012,mirror
159,9/15/2020,Bla3k_D3vil,,M,,,aaadvocates.com.pk/a.html,Win 2012,mirror
160,9/15/2020,Bla3k_D3vil,,M,,,3dtechnologies.com.pk/a.html,Win 2012,mirror
161,9/15/2020,Bla3k_D3vil,,M,,,8kschoolsand187bhus.pk/a.html,Win 2012,mirror
162,9/15/2020,Bla3k_D3vil,,M,,,aalybrothers.com.pk/a.html,Win 2012,mirror
163,9/14/2020,Zx'Phoenix,H,,,,www.ideatech.pk,Linux,mirror
164,9/12/2020,S A T A N,,M,,,aqua.pk/kill.php,Win 2016,mirror
165,9/11/2020,The3x,,,,,unitedfoods.pk/JGYFo7H.php,Linux,mirror
166,9/11/2020,Hunter Bajwa,H,,R,,www.cpmcollege.edu.pk,Linux,mirror
167,9/11/2020,S A T A N,,,,,signz.pk/kill.php,Linux,mirror
168,9/11/2020,The WTJ,,,,,askaricadetcollege.edu.pk/ft.html,Linux,mirror
169,9/10/2020,Yukiteru404,,,,,janan.pk/readme.html,Linux,mirror
170,9/10/2020,S A T A N,,,,,megsolutions.com.pk/kill.php,Win 2012,mirror
171,9/10/2020,S A T A N,,,,,kamwam.pk/kill.php,Linux,mirror
172,9/10/2020,Pir4t3cyb3r,H,M,,,moveinn.pk,Linux,mirror
173,9/10/2020,Devil_Star,,M,,,www.buzztech.com.pk/v2.php,Linux,mirror
174,9/10/2020,Devil_Star,,,,,findmydoctor.pk/v2.php,Linux,mirror
175,9/9/2020,RY4N_M3F1L,,,R,,daradesignstudio.pk/ryan.html,Linux,mirror
176,9/9/2020,Devil_Star,,M,,,therehbar.pk/v2.htm,Linux,mirror
177,9/9/2020,Devil_Star,,M,,,karni.pk/v2.htm,Linux,mirror
178,9/7/2020,Mr onion,,M,,,abdullahengineering.com.pk/69.htm,Linux,mirror
179,9/7/2020,MiSh,,,,,iib.cecos.edu.pk/jr.php,Linux,mirror
180,9/7/2020,Moroccan Revolution,H,M,R,,ist.edu.pk,Win 2008,mirror
181,9/7/2020,Devil_Star,H,,,,capitalevents.pk,Linux,mirror
182,9/7/2020,Devil_Star,H,M,,,mobilebank.pk,Linux,mirror
183,9/7/2020,Devil_Star,H,M,,,eventastic.pk,Linux,mirror
184,9/6/2020,GAZNETO,H,M,,,supplyzone.com.pk,Linux,mirror
185,9/6/2020,Royal Battler BD,H,M,,,comfortinn.pk,Linux,mirror
186,9/6/2020,Royal Battler BD,H,M,,,lzbeautyparlour.pk,Linux,mirror
